d,S0,L,t_L,U,t_U,Point,CI_Low,CI_High
2,90,8.051486015319824,563.6419126987457,8.416764259338379,82.31770277023315,8.234125137329102,8.039737428973336,8.478162645336003
2,100,13.879451751708984,559.68470287323,14.530056953430176,85.2230749130249,14.20475435256958,13.86482682261516,14.607602214276682
2,110,24.344100952148438,539.9903011322021,25.14337730407715,85.9880793094635,24.743739128112793,24.330471419449093,25.222776384620808
3,90,11.230785369873047,1208.6373319625854,11.768646240234375,105.32250595092773,11.499715805053711,11.216956798235234,11.846075656516076
3,100,18.634693145751953,1506.7917008399963,19.594284057617188,106.96063423156738,19.11448860168457,18.617706835894317,19.693199815015053
3,110,29.70514678955078,1391.9988451004028,31.156713485717773,108.11345672607422,30.430930137634277,29.68817887200745,31.277768434724525
5,90,16.35274314880371,2464.157984972,17.351703643798828,140.48833012580872,16.85222339630127,16.33610440184623,17.470048110364225
5,100,25.791873931884766,2438.038552761078,27.61005973815918,141.3757028579712,26.700966835021973,25.771809359012614,27.77131876023433
5,110,37.648685455322266,2556.762065887451,39.53207015991211,140.54846215248108,38.59037780761719,37.62766811639549,39.68632186356761
10,90,25.00834083557129,716.1117351055145,27.409923553466797,52.278517961502075,26.209132194519043,24.979958625662068,27.670448268806282
10,100,36.764320373535156,744.7813827991486,39.89865493774414,52.13715100288391,38.33148765563965,36.73186923776073,40.19245944695055
10,110,49.30583953857422,724.2116098403931,53.11412811279297,51.91952991485596,51.209983825683594,49.27029300256649,53.47772721264896
