H,L,t_L,U,t_U,Point,CI_Low,CI_High
0.01,1.185207724571228,779.1559789180756,1.615918755531311,2668.193727016449,1.4005632400512695,1.182276254850176,1.6359501470329383
0.05,1.053987979888916,961.5954539775848,1.4476590156555176,2543.03195476532,1.2508234977722168,1.0512068645079922,1.4656629447371765
0.1,0.913996160030365,811.2081000804901,1.2318215370178223,2414.526689052582,1.0729088485240936,0.9114307555016347,1.2460117350319284
0.15,0.7861344814300537,764.5981378555298,1.016939401626587,2485.9304523468018,0.9015369415283203,0.7838566699229502,1.0282097731983058
0.2,0.688905656337738,666.227087020874,0.8936111927032471,2275.362510919571,0.7912584245204926,0.6868139129983206,0.9036773714870644
0.25,0.5969088077545166,742.6011831760406,0.7354360222816467,2433.1907613277435,0.6661724150180817,0.5950707532241535,0.7429593559167896
0.3,0.5177191495895386,703.6421239376068,0.6225622892379761,2417.7199199199677,0.5701407194137573,0.5160989792290764,0.6281801710796591
0.35,0.44834446907043457,758.3173837661743,0.5334309339523315,2367.3160910606384,0.49088770151138306,0.44694166858505835,0.5374148569020704
0.4,0.3638210594654083,758.2123198509216,0.4086468815803528,2366.4997680187225,0.38623397052288055,0.3627312430834896,0.4112888503235925
0.45,0.2809530794620514,128.10705709457397,0.3000142276287079,3749.4925129413605,0.29048365354537964,0.2801457359135516,0.3012852504494889
0.5,0.0855928584933281,150.04736185073853,0.5502698421478271,3774.6586689949036,0.3179313503205776,0.08495968040474373,0.5747733077140702
0.55,0.2673981785774231,153.1868872642517,0.28233271837234497,3793.8253030776978,0.27486544847488403,0.26530838791547956,0.28343580397119433
0.6,0.28159788250923157,665.8226811885834,0.3117961585521698,2361.654274225235,0.2966970205307007,0.2794955005229462,0.31381175363069247
0.65,0.31585127115249634,767.5948600769043,0.3568129241466522,2327.3103947639465,0.3363320976495743,0.31368024449860965,0.359454904070214
0.7,0.3298906683921814,731.0509901046753,0.37649089097976685,2511.1603920459747,0.3531907796859741,0.327697613309452,0.37959881675773843
0.75,0.33368682861328125,823.8440330028534,0.37732744216918945,2454.8573648929596,0.35550713539123535,0.3314814443733539,0.38080021745058584
0.8,0.3477522134780884,769.9307730197906,0.38906601071357727,2530.44926905632,0.3684091120958328,0.3455274188300399,0.39274850716074927
0.85,0.36040306091308594,1009.0142719745636,0.4080817997455597,2568.151314973831,0.3842424303293228,0.35816794408973485,0.4120878661217396
0.9,0.3735602796077728,1008.332221031189,0.3994975686073303,2408.057220697403,0.3865289241075516,0.37130690372130326,0.4024246770900984
0.95,0.38489091396331787,652.7298398017883,0.3983122706413269,2363.1314051151276,0.3916015923023224,0.38264708880992854,0.4002772658638888
1.0,0.39871644973754883,664.0653328895569,0.3987240195274353,2350.742441892624,0.39872023463249207,0.3964829513228589,0.39873268256665195
